instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,11230,40.618467,-73.963702,0.9796,NULL,NULL,NULL,NULL,NULL,NULL,NULL,138,NULL,NULL,NULL,NULL,NULL,4750,5967,6000,7749,NULL,19450,0.3214,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,36798.592593,54830.79,NULL,198,11230,,,,,master only (1)
Rabbinical College Bobover Yeshiva Bnei Zion,Brooklyn,NY,11219,40.631954,-73.985026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,379,NULL,NULL,NULL,NULL,NULL,4308,4988,9111,NULL,NULL,14878,0.8913,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,27017.12963,41763.21,14734,39,11219,,,,,master only (1)
Rabbinical College Ohr Yisroel,Brooklyn,NY,11236,40.629707,-73.896524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,NULL,NULL,NULL,3809,NULL,8187,NULL,NULL,14850,0.4118,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22826.961538,NULL,NULL,NULL,11236,,,,,master only (1)
Rabbinical College Telshe,Wickliffe,OH,44092,41.593533,-81.485261,0.8182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL,NULL,NULL,NULL,NULL,8099,7907,6889,10195,NULL,20200,0.1667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,36688.954545,60972.72,NULL,20,44092,,,,,master only (1)
Rabbinical College of America,Morristown,NJ,07960-3600,40.805705,-74.49878,0.8354,NULL,NULL,NULL,NULL,NULL,NULL,NULL,248,NULL,NULL,NULL,NULL,NULL,12221,12977,15733,13808,NULL,23000,0.2162,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,37711.3125,64216.84,28299,9,7960,,,,,matched (3)
Rabbinical College of Long Island,Long Beach,NY,11561,40.586427,-73.670238,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,160,NULL,NULL,NULL,NULL,NULL,NULL,9717,10261,10251,NULL,17700,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,45334.730769,53394.93,NULL,NULL,11561,,,,,master only (1)
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,11211,40.704389,-73.956772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,211,NULL,NULL,NULL,NULL,NULL,20561,22231,NULL,NULL,NULL,29881,0.44,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5359477124,10955.267974,36010.3,NULL,NULL,11211,,,,,master only (1)
Rabbinical Seminary of America,Flushing,NY,11367,40.72308,-73.817161,0.9828,NULL,NULL,NULL,NULL,NULL,NULL,NULL,281,NULL,NULL,NULL,NULL,NULL,NULL,9927,6905,6100,NULL,19100,0.2679,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,41886.473684,61730.74,NULL,221,11367,,,,,master only (1)
Radford University,Radford,VA,24142,37.136907,-80.549728,0.7868,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7267,11420,13026,16716,20541,22180,NULL,NULL,NULL,NULL,NULL,24234,0.5602,23249,18000,16250,15000,0.5950139914,0.0203510557,70758.301196,67375.29,42066,3388,24142,1.64863,1.29485,1.7436399,1.39959,matched (3)
Ramapo College of New Jersey,Mahwah,NJ,07430-1680,41.080942,-74.174086,0.6684,565,565,24,24,22,NULL,1140,5146,12200,16485,22026,27108,27713,NULL,NULL,NULL,NULL,NULL,29130,0.7221,21500,17500,15000,14948,0.5596590909,0.0189393939,86221.564867,88597.61,51159,630,7430,1.76999,1.50291,1.89615,1.58966,matched (3)
Randall University,Moore,OK,73160,35.300757,-97.491107,0.3882,533,485,21,19,19,NULL,1057,282,NULL,NULL,NULL,NULL,NULL,14051,13782,20412,20172,21038,27838,0.5455,26000,12500,12000,7300,0.4369747899,0.1638655462,44136.323529,51563.32,33410,16,73160,,,,,master only (1)
Randolph College,Lynchburg,VA,24503-1555,37.437315,-79.171887,0.8966,540,515,21,19,20,NULL,1060,496,NULL,NULL,NULL,NULL,NULL,18038,20454,24945,25914,26451,58880,0.5602,27000,17500,16000,17125,0.7146892655,PrivacySuppressed,79536.90678,68832.25,36456,58,24503,1.65503,1.24786,1.74189,1.2601,matched (3)
Randolph-Macon College,Ashland,VA,23005-5505,37.76043,-77.478416,0.7131,570,554,25,25,23,NULL,1141,1551,NULL,NULL,NULL,NULL,NULL,20454,20027,22621,25877,28789,56509,0.6557,27000,23927,23250,20000,0.546191248,PrivacySuppressed,102436.17504,76295.38,43415,NULL,23005,1.7379,1.5197001,1.7909499,1.5500799,matched (3)
Ranken Technical College,Saint Louis,MO,63113-2811,38.653303,-90.248465,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1823,NULL,NULL,NULL,NULL,NULL,13623,13595,14440,17356,20444,21674,0.6606,12000,9500,11000,11500,0.0545454545,0.0871473354,47181.382445,60188.55,44692,NULL,63113,1.44319,1.03214,1.538,1.1210001,matched (3)
Reconstructionist Rabbinical College,Wyncote,PA,19095-1898,40.087689,-75.149506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,19095,,,,,master only (1)
Red Rocks Community College,Lakewood,CO,80228-1255,39.720277,-105.150094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4518,6298,6079,8456,13886,14414,NULL,NULL,NULL,NULL,NULL,14480,0.2449,9500,5250,5250,4500,0.5558259811,0.1682385154,37551.117737,72981.48,35432,97,80228,1.37564,.91532999,1.54766,.94191003,matched (3)
Reed College,Portland,OR,97202-8199,45.480959,-122.630348,0.4234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1349,NULL,NULL,NULL,NULL,NULL,18787,14034,20493,25270,43187,75586,0.7652,21020,17200,17750,16750,0.5760869565,PrivacySuppressed,109387.40217,71777.6,38708,19,97202,1.75195,1.5454201,1.7953399,1.57135,matched (3)
Reformed University,Lawrenceville,GA,30043-5604,33.971966,-84.07814,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151,NULL,NULL,NULL,NULL,NULL,15316,NULL,NULL,NULL,NULL,21060,1,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,16,30043,,,,,master only (1)
Regent University,Virginia Beach,VA,23464,36.801173,-76.194627,0.5044,570,510,25,25,22,NULL,1110,4231,NULL,NULL,NULL,NULL,NULL,20479,20707,24954,29646,30136,30136,0.6089,24313,9500,13250,14000,0.653869969,0.3811145511,38934.090093,64029.38,34846,5950,23464,,,,,master only (1)
Regis College,Weston,MA,02493-1571,42.351291,-71.310561,0.8408,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1236,NULL,NULL,NULL,NULL,NULL,26437,28334,31701,31864,39056,61605,0.6411,25250,23000,23250,24250,0.7896341463,0.0579268293,73203.974085,71565.88,48430,2153,2493,1.75038,1.27835,1.80946,1.31689,matched (3)
Regis University,Denver,CO,80221-1099,39.788175,-105.030756,0.782,560,550,25,24,23,NULL,1143,3071,NULL,NULL,NULL,NULL,NULL,20499,22023,23019,25301,31199,51593,0.6708,25000,20131,20416,19439,0.6412294648,0.2458929518,64611.691574,74280.35,57824,3113,80221,1.82349,1.29369,1.85265,1.35776,matched (3)
Reinhardt University,Waleska,GA,30183-2981,34.319756,-84.554264,0.9869,535,515,22,21,20,NULL,1073,1253,NULL,NULL,NULL,NULL,NULL,20365,23806,25140,24772,22990,39983,0.3474,24000,12250,12827,13500,0.4279176201,0.1292906178,55126.078947,75577.26,35459,107,30183,1.47627,1.2805099,1.61755,1.3116699,matched (3)
Relay Graduate School of Education,New York,NY,10004,40.70563,-74.013948,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,3531,10004,,,,,master only (1)
Remington College-Dallas Campus,Garland,TX,75041,32.860595,-96.654105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,628,NULL,NULL,NULL,NULL,NULL,19127,19596,22233,NULL,NULL,25150,0.6062,13910,9500,11932,12360,0.7714097497,0.1537110233,18536.512846,48574.41,23716,NULL,75041,,,,,master only (1)
Remington College-Fort Worth Campus,Fort Worth,TX,76112-1225,32.776152,-97.213702,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,372,NULL,NULL,NULL,NULL,NULL,19205,19675,21987,24208,23445,25295,NULL,13910,9500,11932,12360,0.7714097497,0.1537110233,18536.512846,52636.51,23716,NULL,76112,,,,,master only (1)
Remington College-Memphis Campus,Memphis,TN,38132,35.071403,-89.989881,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,638,NULL,NULL,NULL,NULL,NULL,19710,18031,21277,22084,NULL,26125,0.3663,13910,9500,11932,12360,0.7714097497,0.1537110233,18536.512846,47482.48,23716,NULL,38132,,,,,master only (1)
Remington College-Shreveport Campus,Shreveport,LA,71101,32.403166,-93.793578,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,348,NULL,NULL,NULL,NULL,NULL,20615,22989,21512,21005,NULL,26300,0.5075,13910,9500,11932,12360,0.7714097497,0.1537110233,18536.512846,NULL,23716,NULL,71101,,,,,master only (1)
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,42.729978,-73.676646,0.5726,670,730,32,NULL,NULL,NULL,1410,6265,NULL,NULL,NULL,NULL,NULL,22878,20738,29788,31589,43003,73816,0.8692,24194,22250,21500,20500,0.3442307692,0.0057692308,112386.82308,74851.88,77899,1218,12180,1.79092,1.50783,1.8429101,1.54923,matched (3)
Rensselaer at Hartford,Hartford,CT,06120,41.773462,-72.673916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24194,22250,21500,20500,0.3442307692,0.0057692308,112386.82308,PrivacySuppressed,77899,115,6120,,,,,master only (1)
Renton Technical College,Renton,WA,98056-4123,47.489206,-122.176303,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1095,5962,4762,9874,12684,14098,NULL,NULL,NULL,NULL,NULL,14098,0.5683,7807,7830,6752,5500,0.5815831987,0.2277867528,25964.087237,69724.78,40851,NULL,98056,,,,,matched (3)
Rhode Island College,Providence,RI,02908,41.842415,-71.46556,0.8127,505,480,22,NULL,NULL,7,988,5892,9415,9876,12509,15817,17066,NULL,NULL,NULL,NULL,NULL,17761,0.459,21002,12500,13812,16625,0.685519692,0.051821143,52827.99615,61569.63,40888,1074,2908,1.56365,1.17979,1.73825,1.28214,matched (3)
Rhode Island School of Design,Providence,RI,02903-2784,41.825935,-71.407692,0.2712,655,705,30,31,28,NULL,1361,1736,NULL,NULL,NULL,NULL,NULL,34294,33369,36981,41629,59438,72571,0.8874,27000,22750,21500,21773,0.6612149533,PrivacySuppressed,111677.46963,80568.35,45592,491,2903,1.8577,1.55572,1.8924,1.5709,matched (3)
Rhodes College,Memphis,TN,38112-1690,35.154405,-89.990803,0.5136,670,640,30,32,29,NULL,1345,1801,NULL,NULL,NULL,NULL,NULL,15081,15566,21919,25525,33652,64249,0.8166,22905,12926,20811,19500,0.5427435388,PrivacySuppressed,131754.66799,73395.81,50078,35,38112,1.75668,1.62432,1.84243,1.66843,matched (3)
Rice University,Houston,TX,77005-1827,29.717897,-95.402035,0.1089,740,775,35,35,34,9,1533,4052,NULL,NULL,NULL,NULL,NULL,4443,1340,6152,19697,42730,67102,0.9419,12000,7321,11812,11000,0.4518167457,PrivacySuppressed,84483.635071,77707.58,63654,3567,77005,1.85584,1.5895,1.89341,1.61453,matched (3)
Richmont Graduate University,Chattanooga,TN,37404,35.036337,-85.274642,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,296,37404,,,,,master only (1)
Rider University,Lawrenceville,NJ,08648-3099,40.278796,-74.737833,0.7566,565,555,23,23,22,NULL,1124,3567,NULL,NULL,NULL,NULL,NULL,21221,22338,25864,29876,34591,61693,0.6486,26000,20000,19500,20500,0.5977900552,0.0138121547,83065.344751,85423.56,47393,1006,8648,1.7993799,1.51854,1.86317,1.59949,matched (3)
Ringling College of Art and Design,Sarasota,FL,34234-5895,27.360931,-82.547803,0.6851,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1623,NULL,NULL,NULL,NULL,NULL,47001,47026,51025,54173,55227,69060,0.7811,27000,27000,27000,27000,0.6837121212,PrivacySuppressed,73385.200758,70285.4,38327,NULL,34234,1.65475,1.42829,1.73156,1.47157,matched (3)
Rio Hondo College,Whittier,CA,90601-1616,34.019821,-118.033506,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14152,4643,5575,7491,8868,10355,NULL,NULL,NULL,NULL,NULL,12245,0.2139,8063,5265,PrivacySuppressed,PrivacySuppressed,0.5421940928,0.057345608,22483.635596,57521.57,33103,NULL,90601,1.06042,.71692997,1.21267,.96149999,matched (3)
Ripon College,Ripon,WI,54971-0248,43.844135,-88.842333,0.7406,535,535,22,22,22,NULL,1095,796,NULL,NULL,NULL,NULL,NULL,14175,17767,18085,22596,26820,56059,0.673,27000,14875,19750,19388,0.4960422164,PrivacySuppressed,79991.562005,66802.94,39761,NULL,54971,1.64747,1.1705101,1.75428,1.1953,matched (3)
Rivier University,Nashua,NH,03060,42.738676,-71.45626,0.7571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1274,NULL,NULL,NULL,NULL,NULL,25350,25293,26977,25582,25558,46498,0.5556,26200,20000,21000,19125,0.7661498708,0.1124031008,74997.254522,78345.46,38949,882,3060,1.6351,1.47271,1.7786,1.46433,matched (3)
Roanoke College,Salem,VA,24153-3794,37.294861,-80.055467,0.7813,580,560,25,24,24,7,1155,1899,NULL,NULL,NULL,NULL,NULL,20495,20849,23983,28042,32099,61545,0.6975,27000,21500,20959,22509,0.5968523002,PrivacySuppressed,101020.69855,74630.57,42057,NULL,24153,1.69839,1.51517,1.8087,1.5659699,matched (3)
Robert Morris University,Moon Township,PA,15108-1189,40.520415,-80.210468,0.8563,580,555,26,26,25,NULL,1140,3296,NULL,NULL,NULL,NULL,NULL,22439,22862,25646,28625,32340,47724,0.6923,26947,22813,23250,23250,0.4867781975,0.0426335672,74423.875877,59274.33,45758,822,15108,1.62559,1.21951,1.73987,1.2473201,matched (3)
Roberts Wesleyan College,Rochester,NY,14624,43.125755,-77.798498,0.7581,565,570,24,23,23,NULL,1146,1197,NULL,NULL,NULL,NULL,NULL,19082,20469,23921,27102,28012,45599,0.5898,22932,19000,19025,18750,0.7517647059,0.1552941176,63759.668235,60753.22,44538,509,14624,1.62295,1.3783799,1.69164,1.396,matched (3)
Rochester Institute of Technology,Rochester,NY,14623-5603,43.084188,-77.67386,0.7386,645,675,31,29,30,NULL,1341,12489,NULL,NULL,NULL,NULL,NULL,28322,28857,31935,33469,41755,61063,0.7144,27000,22766,23250,20893,0.3531583265,0.0100492207,85809.699344,69175.72,56507,2746,14623,1.6475101,1.37272,1.74152,1.43023,matched (3)
Rochester University,Rochester Hills,MI,48307,42.667521,-83.144959,0.9943,480,470,20,20,19,NULL,967,920,NULL,NULL,NULL,NULL,NULL,17488,16676,15153,14146,18834,33013,0.4154,23753,14448,16882,17750,0.6624803768,0.1428571429,50542.563579,72043.03,37333,33,48307,1.60107,1.29459,1.66083,1.33834,matched (3)
Rockefeller University,New York,NY,10065-6399,40.762489,-73.955198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255,10065,,,,,master only (1)
Rockford University,Rockford,IL,61108-2311,42.270639,-89.019536,0.5082,510,490,20,18,18,NULL,1009,1000,NULL,NULL,NULL,NULL,NULL,23593,20076,25168,27010,27611,43866,0.4626,25000,21375,16750,17500,0.5699658703,0.0836177474,53551.674061,64497.21,40823,253,61108,1.54699,1.1519901,1.6744,1.20768,matched (3)
Rockhurst University,Kansas City,MO,64110-2561,39.032318,-94.573003,0.7289,563,568,24,24,22,NULL,1167,2054,NULL,NULL,NULL,NULL,NULL,13440,15034,16033,21926,23554,53221,0.7261,19500,12500,14128,14718,0.6210045662,0.0258751903,95739.071537,68699.32,50571,942,64110,1.76065,1.41933,1.86553,1.44775,matched (3)
Rocky Mountain College,Billings,MT,59102-1796,45.796522,-108.554075,0.7117,522,507,21,20,22,7,1071,830,NULL,NULL,NULL,NULL,NULL,17309,16769,18472,21823,23838,40804,0.533,26000,11000,15000,15000,0.517311609,0.0427698574,71799.340122,51454.11,38362,175,59102,1.4526,1.15661,1.6099401,1.15205,matched (3)
Roger Williams University,Bristol,RI,02809-2921,41.650214,-71.260374,0.8601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4224,NULL,NULL,NULL,NULL,NULL,31601,32930,33796,36087,38029,54865,0.6867,26989,14841,19155,20500,0.5868392665,0.0269687163,117325.89482,84094.11,51017,356,2809,1.81256,1.60703,1.88939,1.61544,matched (3)
Roger Williams University School of Law,Bristol,RI,02809-5171,41.650974,-71.261978,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26989,14841,19155,20500,0.5868392665,0.0269687163,117325.89482,84094.11,51017,522,2809,,,,,master only (1)
Rogers State University,Claremore,OK,74017-3252,36.321437,-95.635718,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2905,12246,11649,14957,18016,18686,NULL,NULL,NULL,NULL,NULL,20029,0.2455,20500,9629,10250,10500,0.6272310046,0.1662417134,43930.168791,50487.79,33247,76,74017,1.4826699,1.06584,1.62775,1.14615,matched (3)
Rollins College,Winter Park,FL,32789-4499,28.592787,-81.349239,0.6081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2536,NULL,NULL,NULL,NULL,NULL,26375,21511,27552,30493,35608,66805,0.8074,26000,24000,22681,20342,0.6425,0.0525,71988.27875,69363.5,40079,545,32789,1.71178,1.55796,1.82426,1.57021,matched (3)
Roosevelt University,Chicago,IL,60605-1394,41.876055,-87.624952,0.7652,515,500,22,23,21,NULL,1043,2978,NULL,NULL,NULL,NULL,NULL,20854,19320,21280,23724,25997,44322,0.4156,23541,14000,14500,15000,0.6615276804,0.0483531885,50808.913104,70632.13,38145,1612,60605,1.70643,1.29939,1.7737401,1.34247,matched (3)
Rosalind Franklin University of Medicine and Science,North Chicago,IL,60064-3095,42.300069,-87.859632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6212121212,PrivacySuppressed,17419.757576,75021.24,NULL,2099,60064,,,,,master only (1)
Rose-Hulman Institute of Technology,Terre Haute,IN,47803-3920,39.483602,-87.326749,0.7662,655,705,30,31,31,NULL,1371,1969,NULL,NULL,NULL,NULL,NULL,33997,27109,34201,39401,43001,70401,0.8313,25142,22262,20000,23500,0.2859450727,PrivacySuppressed,120003.36672,67724.52,79785,18,47803,1.66383,1.45706,1.7483,1.45078,matched (3)
Roseman University of Health Sciences,Henderson,NV,89014,36.073182,-115.064633,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000,25000,25000,15000,0.7429378531,0.2062146893,40319.319209,NULL,88572,999,89014,,,,,master only (1)
Rosemont College,Rosemont,PA,19010-1699,40.033417,-75.32925,0.691,540,500,21,18,20,NULL,1049,480,NULL,NULL,NULL,NULL,NULL,15780,15336,16463,22934,29905,35805,0.4758,27000,27000,25553,23375,0.6376811594,0.0507246377,56532.908213,57790.62,36406,297,19010,1.61599,,1.66556,,matched (3)
Rowan University,Glassboro,NJ,08028,39.709108,-75.119119,0.7801,570,575,24,25,24,NULL,1150,15708,19693,21292,27278,31221,32162,NULL,NULL,NULL,NULL,NULL,34987,0.6807,20500,17500,17000,15000,0.4875411378,0.0225669958,78614.70851,76692.58,47699,3715,8028,1.59157,1.39821,1.80493,1.51153,matched (3)
Rush University,Chicago,IL,60612,41.874742,-87.668581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24000,25750,PrivacySuppressed,PrivacySuppressed,0.7303370787,0.1797752809,38936.303371,76900.3,65683,2712,60612,,,,,master only (1)
Russell Sage College,Troy,NY,12180,42.72822,-73.693711,0.7431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1235,NULL,NULL,NULL,NULL,NULL,14563,17301,24877,26882,27753,46287,0.6184,22188,19000,19000,17750,0.7827191868,0.0559085133,58552.449809,60191.67,45058,1118,12180,1.57986,1.25103,1.70847,1.30512,matched (3)
Rust College,Holly Springs,MS,38635,34.776862,-89.446999,0.2947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,623,NULL,NULL,NULL,NULL,NULL,8473,9515,11318,15587,10781,16700,0.197,25253,11127,11000,14750,0.5726618705,PrivacySuppressed,20393.621583,41256.82,23676,NULL,38635,.87217999,,.97762001,,matched (3)
Rutgers University-Camden,Camden,NJ,08102,39.948064,-75.12224,0.7628,540,535,21,20,21,NULL,1075,5387,11940,12118,15952,18840,25229,NULL,NULL,NULL,NULL,NULL,29130,0.6508,21980,19440,19500,18048,0.5539444444,0.0372222222,66613.051722,82669.68,54962,1574,8102,1.5046,1.30277,1.75604,1.39416,matched (3)
Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281,40.498769,-74.446251,0.6693,630,665,29,30,28,NULL,1301,35428,14935,15182,20927,28245,30616,NULL,NULL,NULL,NULL,NULL,32022,0.8445,21980,19440,19500,18048,0.5539444444,0.0372222222,66613.051722,82669.68,54962,14567,8901,1.75855,1.42927,1.8782001,1.55793,matched (3)
Rutgers University-Newark,Newark,NJ,07102,40.739122,-74.175809,0.7409,540,550,21,20,21,NULL,1088,8887,11991,13649,18648,23711,26810,NULL,NULL,NULL,NULL,NULL,27960,0.6505,21980,19440,19500,18048,0.5539444444,0.0372222222,66613.051722,82669.68,54962,4113,7102,1.47096,.99583,1.68987,1.06828,matched (3)
SIT Graduate Institute,Brattleboro,VT,05302-0676,42.891035,-72.56738,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,22815.833333,68457.09,NULL,80,5302,,,,,master only (1)
SUM Bible College and Theological Seminary,El Dorado Hills,CA,95762,38.620833,-121.054758,0.5579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417,NULL,NULL,NULL,NULL,NULL,18439,17640,19887,21912,25132,26346,0.5,27000,12000,17056,17796,0.5038560411,0.3084832905,36195.645244,NULL,27837,167,95762,,,,,master only (1)
SUNY Brockport,Brockport,NY,14420-2919,43.211926,-77.947188,0.5811,535,545,23,21,22,NULL,1089,6239,10679,14206,17803,18324,22075,NULL,NULL,NULL,NULL,NULL,24340,0.6581,20125,15106,16420,15000,0.5812821981,0.0483686319,58770.389239,61824.2,41172,1303,14420,1.5584199,1.29167,1.68047,1.32144,matched (3)
SUNY Buffalo State,Buffalo,NY,14222,42.933832,-78.882125,0.8007,485,475,NULL,NULL,NULL,NULL,960,7207,10484,12992,17154,18186,21387,NULL,NULL,NULL,NULL,NULL,23111,0.4041,21294,12500,12700,14800,0.5771839671,0.0230215827,45753.487153,55484,38919,1030,14222,1.19944,1.01538,1.50825,1.2059799,matched (3)
SUNY College at Geneseo,Geneseo,NY,14454-1465,42.796645,-77.821894,0.6136,610,615,27,NULL,NULL,NULL,1234,4820,12575,15641,18973,18990,24033,NULL,NULL,NULL,NULL,NULL,26266,0.7813,20047,12270,14896,17500,0.6189759036,0.0060240964,89836.738956,69095.17,47241,82,14454,1.75096,1.513,1.8198299,1.55756,matched (3)
SUNY College at Old Westbury,Old Westbury,NY,11568-0210,40.799021,-73.571907,0.5308,510,505,NULL,NULL,NULL,NULL,1015,4543,6839,8838,13452,16178,18666,NULL,NULL,NULL,NULL,NULL,19786,0.488,15250,11412,11250,12875,0.615720524,0.0417273168,46274.912179,73417.13,44425,348,11568,1.55916,.92624003,1.6558,1.05292,matched (3)
SUNY College at Oswego,Oswego,NY,13126,43.454287,-76.540798,0.689,555,550,23,NULL,NULL,NULL,1112,6623,10090,13242,16919,17546,22169,NULL,NULL,NULL,NULL,NULL,24970,0.6483,21500,17530,16000,16500,0.5129262926,0.0242024202,68864.722497,60525.69,42194,963,13126,1.67313,1.30615,1.73589,1.39319,matched (3)
SUNY College at Plattsburgh,Plattsburgh,NY,12901-2681,44.69293,-73.466536,0.6103,540,535,22,21,22,NULL,1078,4603,10141,13422,17264,18037,21697,NULL,NULL,NULL,NULL,NULL,25786,0.6731,21000,15925,15000,15000,0.5880412371,0.0309278351,68539.126598,61507.99,41913,429,12901,1.66767,1.2907799,1.75332,1.38844,matched (3)
SUNY College at Potsdam,Potsdam,NY,13676-2294,44.662148,-74.973815,0.7166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2824,9374,12367,16245,16152,19605,NULL,NULL,NULL,NULL,NULL,23964,0.5037,25500,17250,18256,19500,0.5830721003,0.0214211076,58335.873563,56041.37,36234,242,13676,1.62175,1.16863,1.73017,1.1981,matched (3)
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,12043,42.672534,-74.498258,0.8,505,495,21,NULL,NULL,NULL,1010,2073,12792,15111,18262,19521,23401,NULL,NULL,NULL,NULL,NULL,25633,0.4321,15750,11000,9500,12000,0.5370251127,0.0231809401,55484.150676,60485.06,36139,NULL,12043,1.4881099,1.08506,1.5768501,1.14245,matched (3)
