School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
Marian University,46222-1997,Indianapolis,IN,64.24%,Data Not Available,Data Not Available,2375,60.30%," $26,250.00 "," $45,860.00 ",82.19%
Marian University,54935-4699,Fond Du Lac,WI,67.67%,20,1028,1284,48.39%," $25,268.00 "," $42,989.00 ",82.10%
Marietta College,45750,Marietta,OH,73.91%,23,1120,1121,52.66%," $27,000.00 "," $42,257.00 ",84.07%
Marist College,12601,Poughkeepsie,NY,55.05%,Data Not Available,Data Not Available,5210,84.74%," $25,000.00 "," $55,240.00 ",92.25%
Marquette University,53233,Milwaukee,WI,82.49%,28,1285,7828,83.56%," $24,000.00 "," $57,725.00 ",83.85%
Mars Hill University,28754,Mars Hill,NC,67.29%,Data Not Available,Data Not Available,1013,34.81%," $26,000.00 "," $33,249.00 ",57.57%
Marshall B Ketchum University,92831-1699,Fullerton,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Marshall University,25755,Huntington,WV,89.25%,22,1080,7595,50.33%," $23,958.00 "," $33,780.00 ",70.18%
Martin Luther College,56073-3965,New Ulm,MN,87.31%,24,1185,777,74.87%," $19,975.00 "," $35,543.00 ",82.83%
Martin University,46218-0567,Indianapolis,IN,Data Not Available,Data Not Available,Data Not Available,170,10.00%," $41,604.00 "," $17,200.00 ",Data Not Available
Mary Baldwin University,24401,Staunton,VA,87.10%,21,1042,1395,42.41%," $26,965.00 "," $34,745.00 ",78.15%
Maryland Institute College of Art,21217-4134,Baltimore,MD,89.83%,Data Not Available,Data Not Available,1327,73.39%," $27,000.00 "," $33,152.00 ",87.91%
Maryland University of Integrative Health,20723,Laurel,MD,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Marymount California University,90275-6299,Rancho Palos Verdes,CA,Data Not Available,Data Not Available,Data Not Available,515,31.73%," $21,500.00 "," $36,115.00 ",81.47%
Marymount Manhattan College,10021-4597,New York,NY,88.18%,24,1109,1662,57.98%," $25,000.00 "," $37,945.00 ",93.15%
Marymount University,22207-4299,Arlington,VA,85.26%,24,1089,2011,53.71%," $25,000.00 "," $50,242.00 ",87.19%
Maryville College,37804-5907,Maryville,TN,62.11%,24,1159,997,45.18%," $26,000.00 "," $36,430.00 ",78.04%
Maryville University of Saint Louis,63141-7299,Saint Louis,MO,94.89%,Data Not Available,Data Not Available,5463,74.51%," $23,000.00 "," $47,446.00 ",87.78%
Marywood University,18509-1598,Scranton,PA,82.03%,24,1102,1755,71.20%," $27,000.00 "," $41,554.00 ",82.26%
Massachusetts College of Art and Design,02115-5882,Boston,MA,70.27%,Data Not Available,Data Not Available,1697,74.09%," $25,581.00 "," $35,696.00 ",91.25%
Massachusetts College of Liberal Arts,01247-4100,North Adams,MA,87.68%,19,1066,1036,52.99%," $23,441.00 "," $35,243.00 ",74.46%
Massachusetts Institute of Technology,02139-4307,Cambridge,MA,7.26%,35,1550,4360,95.58%," $13,418.00 "," $112,623.00 ",93.25%
Massachusetts Maritime Academy,02532-1803,Buzzards Bay,MA,92.48%,24,1117,1537,84.69%," $26,000.00 "," $79,354.00 ",87.33%
Massachusetts School of Law,1810,Andover,MA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Mayo Clinic College of Medicine and Science,55905,Rochester,MN,31.30%,Data Not Available,Data Not Available,283,Data Not Available," $12,000.00 "," $66,872.00 ",Data Not Available
Mayville State University,58257-1299,Mayville,ND,53.03%,21,1065,880,30.77%," $17,409.00 "," $40,296.00 ",Data Not Available
McCormick Theological Seminary,60615,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
McDaniel College,21157,Westminster,MD,81.13%,Data Not Available,Data Not Available,1804,62.50%," $25,000.00 "," $43,563.00 ",89.23%
McKendree University,62254-1291,Lebanon,IL,70.08%,23,1107,1690,53.66%," $23,250.00 "," $42,152.00 ",78.30%
McMurry University,79697,Abilene,TX,47.39%,20,1041,1049,35.27%," $27,000.00 "," $37,770.00 ",78.79%
McNeese State University,70605,Lake Charles,LA,63.30%,23,1136,5825,43.50%," $22,534.00 "," $35,891.00 ",67.23%
McPherson College,67460-1402,McPherson,KS,52.16%,Data Not Available,Data Not Available,808,38.00%," $25,949.00 "," $39,462.00 ",78.90%
Meadville Theological School of Lombard College,60601,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Mechon L'hoyroa,10952-2710,Monsey,NY,Data Not Available,Data Not Available,Data Not Available,57,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Medaille College,14214-2695,Buffalo,NY,71.80%,Data Not Available,Data Not Available,1394,37.31%," $23,478.00 "," $35,318.00 ",51.04%
Medical College of Wisconsin,53226-0509,Milwaukee,WI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Medical University of South Carolina,29425,Charleston,SC,Data Not Available,Data Not Available,Data Not Available,318,Data Not Available," $15,072.00 "," $69,378.00 ",Data Not Available
Meharry Medical College,37208,Nashville,TN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Memphis Theological Seminary,38104,Memphis,TN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Menlo College,94027-4301,Atherton,CA,64.51%,Data Not Available,Data Not Available,825,53.55%," $23,250.00 "," $54,374.00 ",85.21%
Mercer University,31207,Macon,GA,78.16%,28,1285,4725,73.19%," $25,000.00 "," $42,312.00 ",75.26%
Mercy College,10522,Dobbs Ferry,NY,81.96%,22,1025,6409,48.17%," $20,647.00 "," $38,085.00 ",70.20%
Mercy College of Health Sciences,50309-1239,Des Moines,IA,91.67%,22,1105,854,51.22%," $16,020.00 "," $50,376.00 ",Data Not Available
Mercy College of Ohio,43604-1132,Toledo,OH,39.51%,21,1030,1493,48.57%," $20,550.00 "," $53,496.00 ",80.31%
Mercyhurst University,16546,Erie,PA,88.02%,Data Not Available,Data Not Available,2369,70.66%," $26,000.00 "," $36,733.00 ",71.74%
Meredith College,27607-5298,Raleigh,NC,71.62%,22,1111,1493,63.69%," $25,000.00 "," $39,277.00 ",78.76%
Merrimack College,1845,North Andover,MA,81.64%,Data Not Available,Data Not Available,4058,73.54%," $27,000.00 "," $49,705.00 ",91.87%
Mesivta Torah Vodaath Rabbinical Seminary,11218,Brooklyn,NY,90.00%,Data Not Available,Data Not Available,364,37.50%, Data Not Available , Data Not Available ,Data Not Available
Mesivtha Tifereth Jerusalem of America,10002-6301,New York,NY,84.21%,Data Not Available,Data Not Available,44,8.70%, Data Not Available , Data Not Available ,Data Not Available
Messenger College,76021,Bedford,TX,33.33%,Data Not Available,Data Not Available,33,19.05%, Data Not Available ," $37,693.00 ",Data Not Available
Messiah University,17055,Mechanicsburg,PA,77.52%,26,1205,2473,78.71%," $26,000.00 "," $42,450.00 ",88.51%
Methodist College,61615,Peoria,IL,87.50%,Data Not Available,1000,557,100.00%," $31,250.00 "," $54,738.00 ",Data Not Available
Methodist Theological School in Ohio,43015-3211,Delaware,OH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Methodist University,28311-1420,Fayetteville,NC,75.88%,21,1050,1419,39.16%," $27,000.00 "," $35,098.00 ",62.86%
Metropolitan College of New York,10006-1742,New York,NY,40.41%,Data Not Available,Data Not Available,509,28.57%," $28,250.00 "," $34,261.00 ",Data Not Available
Metropolitan State University,55106-5000,Saint Paul,MN,61.89%,Data Not Available,Data Not Available,6155,45.90%," $17,012.00 "," $49,771.00 ",62.92%
Metropolitan State University of Denver,80217-3362,Denver,CO,83.33%,17,973,17255,32.03%," $21,500.00 "," $40,336.00 ",80.01%
Miami Dade College,33132-2204,Miami,FL,Data Not Available,Data Not Available,Data Not Available,41353,33.19%," $9,500.00 "," $30,405.00 ",45.81%
Miami University-Hamilton,45011,Hamilton,OH,Data Not Available,Data Not Available,Data Not Available,2275,16.18%," $23,522.00 "," $41,966.00 ",Data Not Available
Miami University-Middletown,45042,Middletown,OH,Data Not Available,Data Not Available,Data Not Available,1308,15.06%," $23,522.00 "," $41,966.00 ",64.48%
Miami University-Oxford,45056,Oxford,OH,91.95%,27,1280,16418,81.59%," $23,522.00 "," $41,966.00 ",82.42%
Michigan School of Psychology,48334-4512,Farmington Hills,MI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Michigan State University,48824-1046,East Lansing,MI,76.31%,26,1216,38413,81.26%," $23,733.00 "," $50,137.00 ",74.10%
Michigan Technological University,49931-1295,Houghton,MI,70.36%,28,1269,5574,72.16%," $25,500.00 "," $62,106.00 ",80.18%
Mid-America Christian University,73170-9797,Oklahoma City,OK,Data Not Available,Data Not Available,Data Not Available,1396,43.31%," $25,000.00 "," $36,626.00 ",Data Not Available
Mid-America College of Funeral Service,47130,Jeffersonville,IN,Data Not Available,Data Not Available,Data Not Available,92,92.31%," $14,280.00 "," $36,843.00 ",Data Not Available
Mid-Atlantic Christian University,27909-4054,Elizabeth City,NC,43.12%,19,1004,150,38.30%," $26,875.00 "," $37,422.00 ",Data Not Available
Mid-South Christian College,38118-3151,Memphis,TN,100.00%,Data Not Available,Data Not Available,22,66.67%, Data Not Available , Data Not Available ,Data Not Available
MidAmerica Nazarene University,66062-1899,Olathe,KS,63.76%,Data Not Available,Data Not Available,1099,48.35%," $15,000.00 "," $50,098.00 ",86.72%
Middle Georgia State University,31206,Macon,GA,99.32%,Data Not Available,Data Not Available,7380,22.66%," $19,564.00 "," $32,536.00 ",41.28%
Middle Tennessee School of Anesthesia Inc,37115,Madison,TN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Middle Tennessee State University,37132,Murfreesboro,TN,94.20%,23,1146,18005,51.15%," $20,500.00 "," $36,660.00 ",70.81%
Middlebury College,5753,Middlebury,VT,22.04%,33,1444,2571,93.62%," $13,293.00 "," $47,424.00 ",91.87%
Middlebury Institute of International Studies at Monterey,93940,Monterey,CA,Data Not Available,Data Not Available,Data Not Available,13,Data Not Available," $13,293.00 "," $47,424.00 ",Data Not Available
Midland College,79705,Midland,TX,Data Not Available,Data Not Available,Data Not Available,4529,23.27%," $14,875.00 "," $35,002.00 ",77.88%
Midland University,68025,Fremont,NE,50.79%,21,1068,1216,43.87%," $26,000.00 "," $41,162.00 ",83.74%
Midway University,40347-1120,Midway,KY,73.06%,21,1084,1156,51.35%," $21,000.00 "," $32,779.00 ",72.36%
Midwestern Baptist Theological Seminary,64118-4697,Kansas City,MO,97.00%,Data Not Available,Data Not Available,858,40.00%," $16,871.00 "," $30,411.00 ",Data Not Available
Midwestern State University,76308-2099,Wichita Falls,TX,70.96%,19,1009,5056,44.32%," $22,067.00 "," $42,741.00 ",75.58%
Midwestern University-Downers Grove,60515-5514,Downers Grove,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Midwestern University-Glendale,85308,Glendale,AZ,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Midwives College of Utah,84106,Salt Lake City,UT,100.00%,Data Not Available,Data Not Available,232,66.67%," $20,000.00 ", Data Not Available ,Data Not Available
Miles College,35064-2621,Fairfield,AL,Data Not Available,Data Not Available,Data Not Available,1438,23.51%," $33,000.00 "," $25,928.00 ",34.90%
Millersville University of Pennsylvania,17551-0302,Millersville,PA,84.55%,Data Not Available,1095,6314,56.35%," $24,194.00 "," $41,080.00 ",83.63%
Milligan University,37682,Milligan,TN,99.23%,25,1197,816,64.64%," $25,000.00 "," $39,263.00 ",75.84%
Millikin University,62522-2084,Decatur,IL,71.15%,24,1097,1849,53.36%," $27,000.00 "," $38,069.00 ",81.31%
Mills College,94613,Oakland,CA,91.14%,25,1180,603,65.24%," $22,500.00 "," $47,240.00 ",85.52%
Millsaps College,39210-0001,Jackson,MS,69.81%,24,1184,668,68.09%," $27,000.00 "," $38,423.00 ",82.22%
Milwaukee Institute of Art & Design,53202-6003,Milwaukee,WI,61.95%,Data Not Available,Data Not Available,924,51.39%," $27,000.00 "," $33,464.00 ",80.34%
Milwaukee School of Engineering,53202-3109,Milwaukee,WI,60.09%,28,1294,2492,69.53%," $27,000.00 "," $69,868.00 ",85.31%
Minneapolis College of Art and Design,55404,Minneapolis,MN,54.68%,Data Not Available,Data Not Available,656,63.33%," $26,500.00 "," $33,820.00 ",76.68%
Minnesota State University Moorhead,56563,Moorhead,MN,66.05%,22,1106,4207,54.86%," $20,500.00 "," $39,289.00 ",85.67%
Minnesota State University-Mankato,56001,Mankato,MN,67.26%,22,1105,11840,50.97%," $21,500.00 "," $45,056.00 ",85.40%
Minot State University,58707,Minot,ND,77.33%,21,1070,2288,54.60%," $20,076.00 "," $40,835.00 ",85.90%
MiraCosta College,92056-3899,Oceanside,CA,Data Not Available,Data Not Available,Data Not Available,11825,35.53%," $9,000.00 "," $33,202.00 ",62.19%
Mirrer Yeshiva Cent Institute,11223-2010,Brooklyn,NY,86.21%,Data Not Available,Data Not Available,131,10.87%, Data Not Available , Data Not Available ,Data Not Available
Misericordia University,18612-1098,Dallas,PA,83.29%,Data Not Available,Data Not Available,1837,73.97%," $27,000.00 "," $52,751.00 ",84.50%
Missio Theological Seminary,19123,Philadelphia,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Mississippi College,39058,Clinton,MS,28.76%,25,1218,2515,65.34%," $22,500.00 "," $37,704.00 ",79.43%
Mississippi State University,39762,Mississippi State,MS,80.04%,26,1244,18724,64.19%," $22,500.00 "," $37,538.00 ",63.68%
Mississippi University for Women,39701,Columbus,MS,99.03%,22,1106,2094,45.83%," $15,000.00 "," $35,208.00 ",60.43%
Mississippi Valley State University,38941-1400,Itta Bena,MS,82.72%,18,945,1376,27.39%," $30,131.00 "," $24,183.00 ",30.94%
Missouri Baptist University,63141-8698,Saint Louis,MO,64.84%,21,1047,1589,35.29%," $22,750.00 "," $35,291.00 ",83.58%
Missouri Southern State University,64801-1595,Joplin,MO,98.33%,22,1087,4342,32.08%," $19,168.00 "," $33,600.00 ",74.50%
Missouri State University-Springfield,65897,Springfield,MO,86.57%,24,1183,15343,57.78%," $22,412.00 "," $37,811.00 ",82.39%
Missouri University of Science and Technology,65409,Rolla,MO,81.46%,29,1328,6050,66.75%," $23,750.00 "," $65,427.00 ",82.44%
Missouri Valley College,65340,Marshall,MO,62.18%,18,956,1327,22.93%," $26,000.00 "," $33,924.00 ",76.18%
Missouri Western State University,64507,Saint Joseph,MO,Data Not Available,Data Not Available,Data Not Available,3530,35.68%," $21,500.00 "," $34,706.00 ",78.24%
Mitchell College,6320,New London,CT,74.22%,Data Not Available,Data Not Available,571,59.44%," $25,500.00 "," $29,542.00 ",77.57%
Mitchell Hamline School of Law,55105-3076,Saint Paul,MN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Modesto Junior College,95350-5800,Modesto,CA,Data Not Available,Data Not Available,Data Not Available,15172,20.16%, Data Not Available ," $30,973.00 ",59.77%
Molloy College,11571-5002,Rockville Centre,NY,74.14%,25,1172,3401,72.86%," $27,000.00 "," $65,824.00 ",92.53%
Monmouth College,61462-1998,Monmouth,IL,69.43%,24,1163,847,58.31%," $27,000.00 "," $37,902.00 ",80.61%
Monmouth University,07764-1898,West Long Branch,NJ,78.93%,24,1130,4245,74.43%," $26,899.00 "," $51,158.00 ",91.88%
Montana Bible College,59718,Bozeman,MT,78.57%,Data Not Available,Data Not Available,Data Not Available,42.86%, Data Not Available , Data Not Available ,Data Not Available
Montana State University,59717,Bozeman,MT,80.77%,25,1205,14132,59.84%," $22,995.00 "," $38,384.00 ",75.99%
Montana State University Billings,59101-0298,Billings,MT,Data Not Available,Data Not Available,Data Not Available,2972,28.37%," $18,538.00 "," $34,441.00 ",68.57%
Montana State University-Northern,59501,Havre,MT,Data Not Available,Data Not Available,Data Not Available,873,35.20%," $17,772.00 "," $38,908.00 ",59.82%
Montana Technological University,59701-8997,Butte,MT,97.27%,24,1192,1418,57.49%," $21,500.00 "," $44,445.00 ",61.73%
Montclair State University,07043-1624,Montclair,NJ,82.66%,Data Not Available,Data Not Available,16262,67.95%," $22,507.00 "," $46,890.00 ",85.76%
Montreat College,28757-1267,Montreat,NC,71.20%,21,1047,823,33.98%," $24,763.00 "," $34,493.00 ",71.68%
Montserrat College of Art,01915-4508,Beverly,MA,Data Not Available,Data Not Available,Data Not Available,354,64.36%," $27,000.00 "," $26,839.00 ",Data Not Available
Moody Bible Institute,60610-3284,Chicago,IL,97.51%,Data Not Available,Data Not Available,2134,62.47%," $14,000.00 "," $35,307.00 ",86.19%
Moore College of Art and Design,19103-1179,Philadelphia,PA,50.04%,Data Not Available,Data Not Available,365,54.88%," $27,000.00 "," $31,869.00 ",Data Not Available
Moravian University,18018-6650,Bethlehem,PA,80.10%,Data Not Available,Data Not Available,1951,69.45%," $27,000.00 "," $47,647.00 ",Data Not Available
Morehead State University,40351,Morehead,KY,76.70%,Data Not Available,Data Not Available,5680,43.12%," $23,250.00 "," $32,395.00 ",71.88%
Morehouse College,30314,Atlanta,GA,77.07%,Data Not Available,Data Not Available,2152,56.40%," $25,000.00 "," $38,825.00 ",76.40%
Morehouse School of Medicine,30310,Atlanta,GA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Morgan State University,21251-0001,Baltimore,MD,73.59%,18,988,6263,46.31%," $27,500.00 "," $36,112.00 ",71.20%
Morningside University,51106-1751,Sioux City,IA,68.60%,Data Not Available,Data Not Available,1184,60.34%," $25,850.00 "," $40,553.00 ",Data Not Available
Morris College,29150-3599,Sumter,SC,Data Not Available,Data Not Available,Data Not Available,394,26.34%," $31,450.00 "," $23,497.00 ",29.05%
Mount Aloysius College,16630-1999,Cresson,PA,95.24%,Data Not Available,Data Not Available,1082,46.07%," $25,284.00 "," $36,805.00 ",73.69%
Mount Angel Seminary,97373,Saint Benedict,OR,100.00%,Data Not Available,Data Not Available,31,50.00%, Data Not Available , Data Not Available ,Data Not Available
Mount Carmel College of Nursing,43222-1504,Columbus,OH,80.82%,20,1050,705,79.75%," $21,500.00 "," $59,077.00 ",Data Not Available
Mount Holyoke College,01075-1489,South Hadley,MA,52.47%,29,1367,1912,84.15%," $21,486.00 "," $40,180.00 ",89.43%
Mount Marty University,57078-3724,Yankton,SD,78.43%,20,1035,656,52.68%," $25,745.00 "," $38,894.00 ",81.66%
Mount Mary University,53222-4597,Milwaukee,WI,53.01%,18,984,621,51.30%," $26,000.00 "," $38,193.00 ",67.07%
Mount Mercy University,52402-4797,Cedar Rapids,IA,76.21%,Data Not Available,Data Not Available,1376,57.46%," $23,250.00 "," $46,497.00 ",86.26%
Mount Saint Joseph University,45233-1670,Cincinnati,OH,60.15%,22,1108,1120,55.33%," $27,000.00 "," $39,954.00 ",82.21%
Mount Saint Mary College,12550,Newburgh,NY,90.17%,22,1080,1780,60.49%," $26,000.00 "," $51,847.00 ",90.06%
Mount Saint Mary's University,90049-1599,Los Angeles,CA,89.33%,21,1014,2026,58.96%," $25,000.00 "," $57,246.00 ",77.30%
Mount St. Mary's University,21727-7799,Emmitsburg,MD,80.45%,22,1082,2009,63.14%," $25,000.00 "," $48,213.00 ",89.09%
Mount Vernon Nazarene University,43050-9500,Mount Vernon,OH,72.48%,23,1131,1614,62.38%," $25,000.00 "," $36,762.00 ",84.90%
Muhlenberg College,18104,Allentown,PA,62.18%,29,1280,2044,81.28%," $25,987.00 "," $53,011.00 ",93.47%
Multnomah University,97220,Portland,OR,58.90%,Data Not Available,Data Not Available,333,50.00%," $20,407.00 "," $36,683.00 ",Data Not Available
Murray State University,42071-3318,Murray,KY,77.03%,24,1179,6981,53.36%," $21,500.00 "," $33,889.00 ",78.39%
Muskingum University,43762,New Concord,OH,79.66%,Data Not Available,Data Not Available,1490,55.73%," $26,975.00 "," $37,307.00 ",77.40%
Naropa University,80302-6697,Boulder,CO,100.00%,Data Not Available,Data Not Available,318,31.15%," $25,000.00 "," $23,764.00 ",Data Not Available
Nashotah House,53058-9793,Nashotah,WI,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
National Louis University,60603,Chicago,IL,97.46%,Data Not Available,Data Not Available,3513,22.22%," $20,613.00 "," $37,382.00 ",Data Not Available
National University,92037-1011,La Jolla,CA,89.36%,Data Not Available,Data Not Available,7864,46.67%," $26,516.00 "," $53,072.00 ",Data Not Available
National University of Health Sciences,60148-4583,Lombard,IL,Data Not Available,Data Not Available,Data Not Available,32,Data Not Available," $12,500.00 "," $42,941.00 ",Data Not Available
National University of Natural Medicine,97201-4848,Portland,OR,Data Not Available,Data Not Available,Data Not Available,38,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Navajo Technical University,87313-0849,Crownpoint,NM,Data Not Available,Data Not Available,Data Not Available,847,9.24%, Data Not Available ," $19,315.00 ",Data Not Available
Naval Postgraduate School,93943,Monterey,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Nazarene Bible College,80920,Colorado Springs,CO,Data Not Available,Data Not Available,Data Not Available,351,55.56%," $36,253.00 "," $33,186.00 ",Data Not Available
Nazarene Theological Seminary,64131-1246,Kansas City,MO,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Nazareth College,14618-3790,Rochester,NY,75.68%,Data Not Available,Data Not Available,2138,71.22%," $26,000.00 "," $41,996.00 ",82.09%
Nebraska Methodist College of Nursing & Allied Health,68114-2852,Omaha,NE,91.86%,23,1155,814,64.71%," $25,000.00 "," $55,182.00 ",Data Not Available
Nebraska Wesleyan University,68504-2794,Lincoln,NE,69.53%,26,1222,1767,62.50%," $26,966.00 "," $42,802.00 ",86.24%
Ner Israel Rabbinical College,21208,Baltimore,MD,80.52%,Data Not Available,Data Not Available,305,50.00%, Data Not Available ," $55,239.00 ",Data Not Available
Neumann University,19014-1298,Aston,PA,80.34%,19,991,1840,50.84%," $27,000.00 "," $42,428.00 ",85.85%
Nevada State College,89002,Henderson,NV,89.93%,Data Not Available,Data Not Available,4287,23.04%," $20,120.00 "," $40,830.00 ",68.77%
New Brunswick Theological Seminary,08901-1107,New Brunswick,NJ,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New College of Florida,34243-2109,Sarasota,FL,69.97%,28,1277,646,63.83%," $15,297.00 "," $32,016.00 ",81.78%
New England College,3242,Henniker,NH,96.25%,Data Not Available,Data Not Available,1753,20.66%," $26,000.00 "," $31,574.00 ",80.63%
New England College of Optometry,2115,Boston,MA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New England Institute of Technology,02818-1205,East Greenwich,RI,69.14%,Data Not Available,Data Not Available,1843,47.55%," $20,000.00 "," $38,892.00 ",73.08%
New England Law-Boston,2116,Boston,MA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New Hope Christian College-Eugene,97405,Eugene,OR,94.74%,Data Not Available,Data Not Available,52,26.67%, Data Not Available ," $27,548.00 ",Data Not Available
New Jersey City University,7305,Jersey City,NJ,96.33%,Data Not Available,Data Not Available,5769,35.74%," $18,233.00 "," $40,933.00 ",76.49%
New Jersey Institute of Technology,7102,Newark,NJ,66.03%,28,1299,8311,70.00%," $21,500.00 "," $64,546.00 ",85.20%
New Mexico Highlands University,87701,Las Vegas,NM,Data Not Available,Data Not Available,Data Not Available,1646,28.73%," $12,996.00 "," $32,146.00 ",37.69%
New Mexico Institute of Mining and Technology,87801,Socorro,NM,96.58%,27,1263,1190,54.07%," $19,000.00 "," $52,334.00 ",69.05%
New Mexico State University-Main Campus,88003-8001,Las Cruces,NM,62.67%,20,1050,11107,51.08%," $18,464.00 "," $28,814.00 ",45.65%
New Orleans Baptist Theological Seminary,70126,New Orleans,LA,Data Not Available,Data Not Available,Data Not Available,839,9.09%, Data Not Available , Data Not Available ,Data Not Available
New Saint Andrews College,83843-1525,Moscow,ID,86.15%,26,1253,143,69.23%, Data Not Available , Data Not Available ,Data Not Available
New York Academy of Art,10013-2911,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New York College of Health Professions,11791-4413,Syosset,NY,Data Not Available,Data Not Available,Data Not Available,263,40.63%," $29,233.00 "," $32,237.00 ",Data Not Available
New York College of Podiatric Medicine,10035-1940,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New York College of Traditional Chinese Medicine,11501,Mineola,NY,Data Not Available,Data Not Available,Data Not Available,78,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New York Institute of Technology,11568-8000,Old Westbury,NY,74.68%,27,1190,3414,50.00%," $23,250.00 "," $51,768.00 ",85.53%
New York Law School,10013-2921,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New York Medical College,10595,Valhalla,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New York School of Interior Design,10021,New York,NY,67.25%,Data Not Available,Data Not Available,401,61.54%, Data Not Available ," $47,021.00 ",Data Not Available
New York Theological Seminary,10115-0083,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
New York University,10012-1091,New York,NY,21.09%,33,1458,27276,87.78%," $20,500.00 "," $60,407.00 ",89.31%
Newberry College,29108,Newberry,SC,56.59%,18,989,1251,52.01%," $26,250.00 "," $34,078.00 ",66.10%
Newman University,67213-2097,Wichita,KS,83.08%,Data Not Available,Data Not Available,977,47.13%," $20,028.00 "," $41,657.00 ",84.78%
Niagara University,14109,Niagara University,NY,92.41%,23,1118,2719,77.36%," $26,000.00 "," $42,775.00 ",78.64%
Nicholls State University,70310,Thibodaux,LA,93.29%,22,1104,5664,45.48%," $22,362.00 "," $35,674.00 ",69.86%
Nichols College,01571-5000,Dudley,MA,80.37%,Data Not Available,Data Not Available,1250,54.66%," $27,000.00 "," $37,102.00 ",88.47%
Norfolk State University,23504-8000,Norfolk,VA,91.07%,18,935,4977,39.39%," $30,500.00 "," $32,746.00 ",62.79%
North American University,77477-0000,Stafford,TX,Data Not Available,Data Not Available,Data Not Available,374,53.01%," $18,151.00 "," $29,812.00 ",Data Not Available
North Carolina A & T State University,27411,Greensboro,NC,56.71%,20,1041,10798,52.08%," $27,000.00 "," $32,547.00 ",55.34%
North Carolina Central University,27707,Durham,NC,87.42%,17,937,5476,51.68%," $29,000.00 "," $31,426.00 ",54.61%
North Carolina State University at Raleigh,27695-7001,Raleigh,NC,46.22%,30,1343,24671,83.90%," $20,311.00 "," $50,971.00 ",79.38%
